ID cliente,Edad en la red,Gasto total al mes,Gasto en SMS por SMS,Gasto de datos por SMS,Consumo  total de datos,Velocidad promedio carga,Velocidad promedio descarga,Llamadas únicas,Llamadas caídas,Duración promedio llamada,Duración promedio llamadas al mismo operador,Duración promedio llamadas a otros operadores,Gasto llamadas al mismo operador,Gasto llamadas otro operador,Llamas por quejas al mes,Tipo de red preferida,Competidor favorito,Cancelación suscripción
ADF1564,61.67,39.28,18.48,0,10.749,6.702257862,19.3924098,4,10,321.8953028,258.4888435,336.9824191,490,920,1,Other,Uxaa,0
ADF1567,41.9,42.332,16.73,3.75,102.1729,4.187270158,16.29316067,22,9,120.4426305,226.2585895,189.4380373,228,546,1,Other,Uxaa,0
ADF1582,5.8,65.77,11.31,20,22041.8564,9.442239036,16.16819887,16,6,205.4630233,253.9243242,102.9178342,624,2219,1,Other,PQza,0
ADF1590,33.03,76.968,12.82,37.5,29.2568,3.860775123,21.94682255,70,9,75.94462322,324.5180144,172.6642389,1326,358,1,Other,Uxaa,0
ADF1596,4.63,86.28,7,0,90759.8047,9.638064291,11.79667011,12,8,283.7345641,249.7282981,210.3748871,720,1820,1,Other,ToCall,0
ADF1597,43.2,86.294,15.68,0,8911525.136,1.94736434,24.60157709,21,9,141.7866075,220.3698353,201.7668733,384,1185,1,Other,Zintel,0
ADF1598,11.33,86.696,20.87,21.25,390.208,7.600515674,18.29394538,9,6,306.4282944,138.4273859,196.2784069,24,2520,1,Other,Mango,0
ADF1601,120.77,87.954,21.51,3.75,182.4531,6.898558738,11.47754933,190,11,228.4189333,166.8838853,74.5990935,2220,904,6,Other,PQza,0
ADF1602,46.9,94.5084,0,25,1032.7432,8.713631223,17.69505742,155,6,267.9831703,99.81116273,140.0461381,2658,2318,1,Other,Mango,0
ADF1603,3.57,97.43,0,6.25,10.0518,8.165565671,11.59182868,9,8,206.6848428,163.9793641,194.0137539,8166,294,1,Other,Uxaa,0
ADF1604,116.23,98.894,1.8,21.25,31186.96,1.264874735,22.33161343,6,7,207.6887094,266.0093959,218.6869534,48,179,1,Other,PQza,1
ADF1606,110.63,102.698,23.9,6.25,245.5137,6.806268327,17.4006471,5,8,276.7178474,276.8718929,162.5382738,2904,358,1,Other,PQza,0
ADF1607,4.43,104.2524,9.3,2.5,11.0625,8.503340089,23.9281455,85,9,301.6577925,126.8640283,285.2899653,1206,984,1,Other,Weematel,0
ADF1614,12,115.7052,0,0,1639.8564,7.188467441,16.92300145,481,8,120.0996493,208.9983326,177.6781455,7932,1160,1,Other,Uxaa,0
ADF1615,67.3,118.134,6.12,21.25,1322753.892,9.123008925,18.74982512,38,8,182.1935139,132.4706959,161.3770047,1632,762,1,Other,ToCall,0
ADF1616,67.73,122.65,7.73,0,183047.1699,7.471165885,23.35538325,164,11,161.9833231,290.2745412,164.9733597,1800,5778,1,Other,Uxaa,0
ADF1617,30.53,125.0288,9.56,1.25,1.6064,4.550552644,10.44579082,49,6,14.47816622,287.5118273,190.0144672,1018,1721,6,Other,Uxaa,0
ADF1620,3.6,128.63,24.5,0,10011.918,8.595616765,17.63963337,11,9,331.6765483,316.7030851,164.782453,8292,1128,1,Other,Uxaa,0
ADF1623,0.07,130.578,94.85,1.25,2.1953,9.623102267,23.47012405,7,9,280.0420411,296.2801008,210.9032201,150,1121,1,Other,Uxaa,0
ADF1624,3.63,130.79,4.46,0,69972.8086,3.086701759,23.53332749,40,10,168.6793922,159.4031981,142.8527208,6655,5164,1,Other,Uxaa,0
ADF1625,4.1,132.018,5.25,0,0.5215,6.242858744,21.16005656,24,6,190.2141041,259.405265,98.92017684,5868,4356,1,Other,Uxaa,0
ADF1632,72.07,148.172,8.04,31.25,668938.834,6.392476463,19.71569515,15,6,213.1235079,285.0135901,239.0837469,84,6716,1,Other,Uxaa,1
ADF1634,34.33,151.37,3.5,1.25,1.7822,4.408140392,23.88041181,44,9,124.0225001,147.0516782,236.174837,10944,1475,1,Other,ToCall,0
ADF1635,4.5,153.738,1.75,6.25,4251.4922,3.654240322,11.96172326,16,6,172.412121,381.4840907,241.7363547,7512,2106,1,Other,Mango,0
ADF1638,12.3,159.754,16.73,8.75,4868.1738,8.168346395,24.88975153,12,10,126.1912579,383.6192237,211.6410054,636,2105,1,Other,Zintel,0
ADF1639,3.5,160.1804,0,0,62812.8721,8.904032876,20.53764981,25,5,184.1572366,78.21375847,248.1080493,3672,3668,1,Other,Uxaa,0
ADF1644,48.53,174.948,32.82,1.25,0.9395,8.480345832,14.15802773,51,7,222.0278534,82.74067654,205.0997133,954,7559,1,Other,Zintel,0
ADF1650,120.7,192.19,46.55,2.5,2185.9815,9.383222705,9.464268442,375,4,218.461756,270.5347905,174.0669695,4572,6382,1,Other,Uxaa,0
ADF1656,4.57,196.59,0,0,38424.5,7.945168531,21.7057788,40,12,202.6140143,221.8799683,47.44479086,14904,2098,1,Other,Mango,0
ADF1657,57.83,197.9088,16.09,21.25,707.959,5.06198811,13.99764084,26,9,217.4712661,246.8897091,109.0457363,3421,6793,1,Other,Weematel,0
ADF1663,5.83,223.198,18.54,38.75,42489.2178,9.415877219,9.960245691,42,9,275.6660592,170.1254564,112.680428,816,2659,1,Other,ToCall,0
ADF1668,14.63,629.7724,43.83,7.5,918.1826,9.93752394,13.95053749,62,11,146.0324283,69.95899297,167.1102467,1854,12533,1,Other,Uxaa,0
ADF1670,30.43,634.5116,21,5,46268.8594,8.975177053,19.75130482,160,3,283.4291663,252.5734353,210.7622412,10116,3247,1,Other,Uxaa,0
ADF1677,8.1,702.986,61.26,26.25,872.8867,5.790365355,11.0048654,88,13,238.6987106,221.9781066,165.6188589,8118,25689,3,Other,Zintel,0
ADF1678,7.7,705.6384,18.27,0,832.5762,3.88215099,22.86778036,367,11,100.8571531,163.9954178,163.6607484,10740,9398,1,Other,Uxaa,0
ADF1685,3.57,760.1084,439.25,0,112353.752,3.540331069,9.575866565,53,6,202.494194,235.976441,225.383691,21864,4005,1,Other,Weematel,0
ADF1695,82.17,805.2024,60.97,0,49.9209,9.810247595,14.70308166,112,10,111.7830128,144.2943545,179.5754755,13380,34401,1,Other,Uxaa,0
ADF1698,42.2,819.494,51.56,5,105176.2051,1.622917481,14.76402366,273,7,250.8254743,238.7616684,180.5222447,3294,38174,1,Other,ToCall,0
ADF1707,18.83,888.8744,19.04,1.25,179826.9209,5.61065095,15.33152969,478,4,266.2929819,182.6881763,182.2599484,1182,4768,1,Other,PQza,0
ADF1708,74.57,891.412,19.58,25,455796.5185,8.623943413,22.0351131,447,7,160.4789676,142.6493678,143.7660619,13581,10325,1,Other,ToCall,0
ADF1719,13.47,948.726,16.56,0,1686.7334,1.967232862,10.16131988,168,7,265.8525079,185.8495798,168.3398328,15219,9390,1,Other,Weematel,0
ADF1721,59.5,960.5568,35.25,353.75,487125.9462,6.845205022,21.46507295,73,6,263.8352861,99.6839217,131.8855631,2954,13313,1,Other,Uxaa,0
ADF1725,15.17,975.462,28.69,27.5,424396.3096,2.428805387,23.99400755,507,8,189.3217082,283.6446969,182.7373788,1368,27927,1,Other,PQza,0
ADF1726,54.33,978.498,16.73,2.48,633.0381,1.014476779,18.01656111,6,7,97.11537949,138.0008822,188.7600243,978,1121,4,Other,Uxaa,0
ADF1728,79.73,980.896,75.53,16.12,203520.3027,9.084402522,20.94294346,141,9,94.81675396,220.9253995,178.2942691,36930,16341,1,Other,ToCall,0
ADF1729,63.67,981.58,21.34,0,1209.3574,6.081754323,24.35376457,343,9,357.4209804,266.9383535,191.4405648,228,37844,1,Other,ToCall,0
ADF1734,6.4,1004.496,7.17,195,2120247.791,5.169727153,15.249185,148,6,353.8420168,287.1778675,193.5744453,6060,19572,1,Other,Zintel,0
ADF1736,8.53,1013.586,21.87,1.25,1.0273,7.618549272,16.77514562,601,9,102.7673282,150.7258146,175.6113577,11124,1915,1,Other,Uxaa,1
ADF1754,23.97,1126.4024,21.15,13.75,1227795.178,8.604238919,15.897822,331,7,200.1433347,188.5749655,136.8260218,4446,25348,1,Other,Mango,0
ADF1759,84.43,1197.1784,14.34,0,1158535.702,2.382931686,18.99358621,530,10,209.8684005,171.961001,185.9827513,0,4600,3,Other,Uxaa,0
ADF1760,8,1217.112,30.38,41.25,37986.0157,2.060615192,15.43616774,615,7,240.7721212,300.7430493,191.3391373,53058,9191,4,Other,Uxaa,0
ADF1762,121.43,1222.696,121.26,0,21807.3848,7.415474969,22.12251471,450,11,357.1859848,350.7418578,160.2310951,8940,37887,3,Other,ToCall,0
ADF1763,135.07,1227.2,0,153.75,2726.0742,8.318440376,16.13977294,133,13,272.6115849,60.89723398,135.1852752,32268,31825,3,Other,Mango,1
ADF1767,3.8,1255.0844,3.59,0,13.2812,5.114179683,10.58377809,656,5,122.0161756,193.8839337,189.8567774,88296,3388,1,Other,PQza,0
ADF1772,39.13,1300.94,2.35,27.5,1831580.459,8.474407627,11.07099754,334,12,273.9783589,187.436099,202.2188201,6420,33346,1,Other,PQza,0
ADF1773,12.2,1301.1488,24.46,0,266689.4639,5.067460598,14.95793062,1128,5,206.7599135,239.4199592,203.7973304,14670,32948,1,Other,PQza,0
ADF1774,9.37,1303.378,3.36,23.75,23869.7158,2.564978258,17.033975,452,5,186.7853204,156.0561394,153.6798212,42030,15659,6,Other,Uxaa,0
ADF1803,22.9,1541.4164,165.81,10,357186.3018,8.017387256,15.13306101,746,10,126.7147393,216.3109876,135.7296376,16110,12028,1,Other,Weematel,0
ADF1806,62.57,1632.5604,50.66,1.25,5.0371,5.377690594,24.18640589,325,12,266.6718511,227.823394,154.6132465,46484,38329,6,Other,PQza,0
ADF1811,153.03,1757.78,11.95,0,28045.9677,8.083159677,24.25718977,522,9,196.5521802,285.7849541,174.3947404,0,24013,3,Other,Weematel,0
ADF1815,25.5,1804.326,35.56,1.25,17363.8516,6.834577352,17.99922929,820,9,349.9089341,261.4421974,164.4730491,14601,52812,1,Other,PQza,0
ADF1817,12.3,1827.44,51.99,0,941.4883,1.43584047,10.10428275,1086,1,188.4975423,274.720234,134.2834858,11064,62435,1,Other,Zintel,0
ADF1821,3.43,1892.1272,78.69,116.25,158633.584,7.531397252,15.43112777,138,7,115.9406876,190.0273007,179.3417444,105468,5688,1,Other,Other,0
ADF1841,79.73,3170.14,5.25,41.25,8041.1484,3.98231792,22.50019116,353,8,153.6041045,269.9591424,199.4966121,54514,73881,1,Other,Other,0
ADF1848,19.8,5221.15,19.68,83.75,694552.8369,8.48308504,11.81590261,424,9,222.6732809,241.1241812,152.0973273,53605,81021,1,Other,ToCall,1
ADF1849,126.8,5426.89,0,0,54.8057,6.972435544,23.7948251,2596,9,183.6738376,279.5694914,175.8891992,0,14579,4,Other,Zintel,0
ADF1855,65.5,10042.3532,1.75,2.5,41.7314,3.609463554,18.64879932,1705,11,242.1826584,307.0579158,101.3599188,381174,431440,1,Other,Zintel,0
ADF1895,3.37,44.97,0.61,0,313266.3779,2.241088611,14.15034309,11,3,108.9876675,180.1760567,178.7427502,348,3466,1,Other,ToCall,0
ADF1896,12.4,68.748,19.12,2.48,51.8125,2.391301427,16.29050772,13,10,281.3398645,173.6704696,144.481126,358,3232,1,Other,Weematel,0
ADF1901,49.63,142.3388,9.56,0,517720.3789,4.475618708,19.82487487,69,4,103.9101518,201.6976006,268.1078238,813,6680,1,Other,Weematel,0
ADF1907,76.03,789.44,5.25,7.5,979067.5381,4.14715463,18.34766876,207,6,204.325638,255.3106982,96.80152659,22062,16827,1,Other,Weematel,0
ADF1913,65.47,1174.822,1.75,238.75,5272612.691,7.915291663,9.541184068,115,6,184.767957,209.5382537,160.6472791,4512,24678,1,Other,Weematel,0
ADF1955,4.53,208.056,24.5,0,2581.9473,6.887881464,21.58654594,58,3,193.8158328,258.8648664,146.1827999,8364,6883,1,Other,Zintel,0
ADF1959,75.07,535.63,1.75,7.5,1919857.372,8.075488602,18.87598587,131,8,102.0004109,224.053435,101.5476243,8820,23657,6,Other,ToCall,1
ADF1972,13.83,70.8648,9.56,0,3658.9395,6.087471039,24.13594562,10,12,303.7612715,208.1776543,9.949519663,1253,1121,1,Other,Zintel,0
ADF1975,11.87,89.378,16.73,8.75,1332.4814,9.669914105,17.59143498,4,5,215.6773253,245.0822858,160.724573,0,2607,1,Other,Zintel,0
ADF1978,3.57,128.51,5.98,22.5,47800.1602,4.062223648,19.06438559,17,12,142.5571092,286.3971387,132.2102955,120,6476,1,Other,Mango,0
ADF1979,3.57,139.136,0,20,1509481.9,1.905875684,13.96462547,8,8,352.4924454,198.0736558,243.5913987,0,2806,1,Other,Zintel,0
ADF1985,45.37,204.3128,28.05,2.5,1.1426,4.29247895,10.37537045,36,18,94.77613649,128.2638283,198.8457995,966,10314,3,Other,Weematel,0
ADF1995,5.37,1109.198,22.64,6.25,978.1816,7.684648049,21.75688208,385,7,169.1410592,243.970011,167.6044233,11700,67635,3,Other,Zintel,0
ADF0038,3.9,49.67,0,38.75,6941.0615,5.970061977,22.79050671,1,13,165.4915287,166.2424151,169.0324321,0,1092,3,3G,Mango,0
ADF0042,8.23,152.912,0.02,15,32417384.89,1.786001032,19.00861409,6,12,277.9221654,212.0393362,84.96859941,12,1145,6,3G,Mango,0
ADF0065,19.9,763.92,88.87,31.25,314353.6328,8.925760971,22.09377027,82,7,192.3849082,219.5498365,136.3941346,7155,21202,1,Other,Zintel,0
ADF0081,18.2,85.65,13.7,0,48.4814,3.432805015,13.38093265,17,9,254.2229482,334.0116171,149.4955652,420,5459,1,Other,ToCall,0
ADF0098,80,185.7184,17.86,22.5,2643.9883,8.691207187,23.1539997,18,9,295.3474684,108.6182747,237.0744926,24,6475,1,Other,Mango,0
ADF0101,45.47,225.4588,19.87,18.75,27652.7637,3.138638125,22.06823154,27,7,300.7628879,147.9239446,181.8749248,753,4734,4,Other,Mango,0
ADF0106,6.3,649.86,10.76,1.25,64,7.418283525,19.30685092,281,11,258.4008219,218.9504176,169.8543826,4530,45501,1,Other,Mango,0
ADF0127,62.57,1311.07,45.03,37.5,50528.8896,8.278622831,18.73633549,256,6,101.6187876,240.3213716,198.0383641,16572,60863,4,Other,Weematel,0
ADF0137,32.9,3847.5,155.75,280,370332.6133,5.484335187,12.68604274,544,10,129.6149954,162.1919381,267.7433434,52512,229965,1,Other,ToCall,0
ADF0256,42.13,28.704,0.62,7.5,12453173.39,6.025711098,16.22736758,8,4,179.4626053,199.2832098,177.8167447,0,1432,1,3G,PQza,0
ADF0262,6.43,113.7356,0,36.25,2970883.125,4.309131654,18.86560252,4,7,144.6725867,199.6767096,33.95501806,0,716,4,Other,PQza,1
ADF0267,41.2,145.33,0,32.5,2051331.76,5.79127453,24.31619503,4,7,215.3002039,205.2808367,90.83606672,0,716,1,3G,PQza,0
ADF0285,35.27,277.75,4.14,3.75,173652.1992,3.200807088,10.72137495,15,12,173.9111471,258.5813144,211.4859311,131,2337,4,Other,PQza,0
ADF0291,7.47,312.0668,8.75,97.5,1434072.182,3.273135258,21.82012488,16,8,229.9900362,290.8489298,165.1402267,1559,2749,1,Other,PQza,0
ADF0293,71,315.93,50.51,102.5,223510.1436,9.439444803,16.96040548,28,8,179.7398732,199.1419142,211.6302799,1422,6606,1,Other,PQza,0
ADF0297,13.73,333.99,1.23,153.75,4365315.423,9.084611927,16.9167913,5,7,161.9362158,235.9191531,156.7277274,0,908,1,Other,PQza,0
ADF0304,49.2,402.1204,0,121.25,1835788.702,3.170095164,11.00505326,4,5,238.3510311,172.1741715,223.6848903,0,716,1,Other,PQza,0
ADF0313,3.9,475.9704,81.37,0,4282439.772,2.197097045,22.62455617,28,12,116.6759152,218.1815177,188.2113235,1056,19584,1,3G,Weematel,1
ADF0317,3.63,487.4,3.5,45,52642.8291,4.616284635,17.57948089,33,5,112.1686563,286.0334421,143.1091959,120,0,1,3G,ToCall,1
ADF0320,3.4,526.86,26.25,1.25,1021022.577,8.990359343,19.36437671,38,10,218.8953976,49.56742686,199.8929281,348,5196,1,Other,Zintel,0
ADF0333,77.4,757.268,31.22,81.5,26109600.31,3.495944491,9.884456147,26,6,202.8999024,220.4770241,148.9053845,502,9249,1,Other,Weematel,0
ADF0339,32.43,1083.456,43.04,31.25,1885998.199,6.234578636,22.58751177,37,8,193.0988909,117.7886286,219.332207,2737,8796,1,Other,PQza,0
ADF0351,3.3,16.152,0,11.25,620062.2246,8.587831259,9.794570509,1,9,191.1979491,254.759941,145.6157727,0,179,1,Other,PQza,0
ADF0354,36.4,19.8604,11.31,1.25,64,6.732024081,9.705486882,2,7,121.5524173,252.3024681,152.4695889,216,179,1,Other,Uxaa,0
ADF0363,7.97,26.452,13.7,1.25,0.6953,1.601887447,16.62173878,5,10,78.36885934,183.7164463,97.92168785,12,827,1,Other,Uxaa,0
ADF0371,3.83,35.48,0,21.25,1079.5459,4.965120923,19.24623394,1,8,134.3593857,171.1325369,253.4103279,0,179,1,3G,PQza,0
ADF0377,3.83,41.01,0,18.75,8033337.324,9.542339493,12.28122386,10,7,87.48806893,268.3278725,186.1494349,0,1616,9,3G,PQza,1
ADF0391,11.47,43.87,21.51,0,106.6865,7.798720615,20.48200983,1,4,224.3962111,148.5719509,172.5049035,0,179,1,Other,PQza,0
ADF0409,122.5,56.3424,38.24,1.25,21.126,1.075261802,10.26854172,2,13,249.0177667,374.1774363,199.2059031,0,358,1,3G,PQza,0
ADF0410,3.27,56.37,0,25,2893799.543,9.092426072,14.14506835,5,7,60.98467085,144.5374079,216.5550119,780,537,1,3G,PQza,0
ADF0417,3.5,60.242,0,30,1000420.099,6.610202467,18.1953013,2,4,190.6136164,273.4063881,179.7962388,0,299,1,Other,PQza,0
ADF0420,23.93,60.4104,21.1,0,34.6455,2.04997673,14.21647591,14,5,123.9248123,155.6837014,188.1072873,3106,179,1,Other,PQza,0
ADF0421,44.33,60.5036,0.03,32.5,9527230.541,4.618454417,17.20253463,14,9,219.6173444,236.7155424,187.6271041,36,1876,1,Other,PQza,0
ADF0440,3.97,75.736,0.02,52.5,355209.9775,4.602512108,17.82324007,5,13,117.9334334,217.1029165,176.7369414,0,836,1,3G,Mango,1
ADF0442,42.57,76.3804,16.06,13.75,102332.8555,3.925580289,10.7501036,4,10,170.9692676,165.7931615,145.1175993,0,431,1,3G,PQza,0
ADF0444,38.2,78.702,18.48,20,2686.0938,2.604122504,22.65587372,6,11,264.322829,164.974878,139.5967382,0,830,1,Other,Weematel,0
ADF0446,3.47,80.12,0,0,1667697.537,4.252620691,20.40058375,11,10,318.1128028,230.1985104,216.3811674,0,1792,3,Other,Mango,0
ADF0447,16.83,81.302,11.95,1.25,21.3867,6.090936332,23.39842599,13,5,321.6987011,239.6381854,119.7839891,2725,1422,3,Other,Uxaa,0
ADF0451,5.33,89.22,23.9,0,1436.1211,8.911168985,23.99698924,29,8,265.3574285,153.5531146,100.8227201,36,1988,4,Other,Weematel,0
ADF0457,49.97,99.78,0,0,105437.749,4.187761151,13.12811622,8,6,107.4394166,281.1765458,184.187905,0,1432,1,3G,PQza,0
ADF0458,21.63,101.3784,9.56,22.5,14937.3486,9.036410944,21.93290756,14,11,194.8897227,286.1970901,56.72951818,0,3536,1,Other,PQza,0
ADF0460,3.73,103.1084,1.74,8.75,1262138.999,3.735877465,19.61007766,13,8,176.4798383,265.8029812,233.4506322,3624,3572,3,Other,PQza,0
ADF0475,48.1,128.17,4.78,15,636754.415,7.459057203,15.55410156,12,6,273.5863447,295.6157483,168.9607644,2124,1655,1,Other,Uxaa,0
ADF0480,27.97,136.776,25.01,57.5,13242.5566,6.349218722,19.48886281,1,8,208.5192696,207.4969818,208.7952238,0,179,4,Other,PQza,0
ADF0484,3.67,141.1888,40.27,0,1212.2646,3.6647089,18.52595225,22,12,274.5722715,197.6459654,190.2554295,348,3511,1,3G,Uxaa,0
ADF0488,41.07,145.33,0,32.5,2051331.76,8.581694994,24.46422746,4,7,320.4980523,257.4575418,141.9197842,0,716,1,3G,PQza,0
ADF0490,19.7,152.478,34.02,16.25,1106.2207,3.244695236,22.87888896,20,8,252.5762742,206.2241985,156.1288046,2749,2426,1,Other,PQza,0
ADF0491,92.43,152.81,3.5,18.75,79060.7529,6.387725766,16.25969201,16,4,265.7347301,166.6437305,130.9116133,1032,7718,3,Other,PQza,1
ADF0494,13.23,155.446,28.98,1.25,0.2344,1.66745939,14.16091936,31,8,150.8234475,258.4679193,89.17214742,3636,5202,1,Other,PQza,0
ADF0511,3.3,200.95,11.96,0,12104261.51,2.804379737,13.15535802,4,4,125.1344692,263.5478865,183.7866979,0,657,1,3G,PQza,0
ADF0513,11.6,202.0064,98.39,3.75,5577.5479,3.894084529,20.37498829,25,7,102.4263107,205.1155134,87.36418581,0,5224,3,Other,PQza,0
ADF0517,52.43,209.3916,47.58,30,88303.875,2.272481185,17.84188515,36,10,321.7972069,263.8755816,201.4021719,12,7199,1,Other,PQza,0
ADF0524,10.07,220.274,20.23,25,230911.1406,5.462371183,20.6393738,17,9,325.7616958,110.3389557,145.6549349,0,3283,1,Other,ToCall,0
ADF0525,128.33,225.0916,33.76,6.25,202.6494,8.011193047,15.93016355,51,11,185.7732232,203.0090475,213.789023,972,10362,3,Other,PQza,0
ADF0537,97.73,818.37,43.08,5,138.1816,1.462692783,10.41332965,111,10,153.6618752,201.7577321,62.03233515,19589,21117,3,3G,Other,0
ADF0539,6.4,845.9964,26.95,1.25,6248.2051,1.474579869,12.11655574,138,5,213.2563319,201.5211375,217.2043011,1986,26787,3,Other,Other,1
ADF0549,26.13,1137.2004,10.16,70,9725620.331,7.389808846,15.82252223,112,5,227.8403781,233.8801585,224.9545887,5716,34606,3,Other,PQza,0
ADF0561,4.87,1825.466,0.73,493.75,7293387.495,9.823104284,24.48257971,29,5,176.614601,336.1885347,67.27302267,0,5279,1,Other,PQza,0
ADF0580,3.97,144.042,75.26,3.75,32554.6211,5.153674714,15.88226473,5,8,281.3745462,235.6380222,166.2296512,120,588,1,Other,Uxaa,0
ADF0584,21.03,365.9408,131.69,43.75,3084.3545,2.295545534,24.01150372,33,5,257.8638376,267.4296562,183.4925138,36,7018,1,3G,ToCall,0
